Wavelength,Deep Blue,LimeGreen,Deep Red,Far Red,CHA,CHB,BC
613,0.108 ,79.589 ,176.0616,12.4464,0.290473477735587,4.91213145429961,3.483437456509
614,0.108 ,78.739 ,179.9928,12.9624,0.284334139721557,4.86155867234224,3.42327852803017
615,0.151 ,77.242 ,184.5504,13.56,-0.057621611707157,4.86946364579321,3.42884483457981
616,0.130 ,76.867 ,188.6112,14.172,0.192383844282013,4.81860514190388,3.36836477303081
617,0.108 ,74.318 ,192.888,14.7744,0.445193397213492,4.7086974387423,3.30767062276836
618,0.130 ,72.907 ,196.3224,15.2808,0.252906320080562,4.65736273163303,3.37928329741664
619,0.130 ,72.158 ,199.8432,15.8472,0.73327995193837,4.54678834396354,3.38474255960956
620,0.130 ,69.912 ,203.4504,16.4544,0.42732373034954,4.49497743363434,3.45667636732802
621,0.130 ,69.221 ,206.3016,16.8456,0.18056750018846,4.3244966808967,3.52882426375993
622,0.130 ,67.061 ,208.872,17.4744,0.281334358099991,4.15344448429514,3.73456351738325
623,0.086 ,65.390 ,209.304,18.0288,0.369005395168986,3.98182084382965,3.94094503714692
624,0.022 ,65.477 ,210.924,18.4128,0.739193499937874,3.69057495451586,4.28177426895581
625,0.108 ,63.850 ,212.0472,18.9072,0.148075241907555,3.69647987444308,4.62367394433193
626,0.086 ,61.963 ,214.1208,19.2096,0.512349798676939,3.52323714302981,5.10087768660705
627,0.108 ,60.322 ,214.8984,19.7664,0.810263594986446,3.40923409217677,5.64680390589892
628,0.065 ,59.803 ,215.6112,20.1312,0.811553823640883,3.29485007874777,6.32910463565702
629,0.086 ,57.989 ,216,20.4504,0.230305814817007,3.18008510274283,7.41817392096593
630,0.086 ,57.427 ,214.6392,21.024,0.244240284284927,3.24522970323028,8.10539869113334
631,0.151 ,56.261 ,215.784,21.3624,0.815424509604194,3.1299885240054,9.47128468293024
632,0.108 ,54.230 ,214.4232,21.6024,0.360715676064229,3.13494103749275,10.8414524489961
633,0.086 ,53.568 ,212.8248,21.9504,0.313568570650009,3.26065868755626,12.2159019893309
634,0.000 ,52.574 ,212.544,22.2072,0.751020595936879,3.32627949126365,13.5946333039347
635,0.065 ,51.322 ,210.7944,22.4928,0.458160195190584,3.39209077625901,15.6584485015714
636,0.065 ,50.717 ,208.6344,22.7184,0.75338601513668,3.57942912298244,17.7286863606115
637,0.065 ,49.493 ,208.0944,22.9584,0.53505782299503,3.82810244443382,19.8053468810551
638,0.086 ,48.110 ,205.308,23.2056,0.687046758487711,4.19925523405313,21.2044166234364
639,0.086 ,47.304 ,204.012,23.3352,0.405991949929514,4.63250492355229,22.6077681400867
640,0.108 ,46.195 ,201.3552,23.544,0.310138712810298,4.9449894764753,24.0154014310059
641,0.065 ,45.562 ,199.5624,23.6016,0.690272330123803,5.68643788991803,24.7400917260266
642,0.086 ,43.949 ,196.7112,23.6472,0.255798582647592,6.12397340839664,24.7786276944472
643,0.130 ,43.085 ,194.9616,23.7888,0.692422711214532,6.74684722007493,24.127798005566
644,0.065 ,42.754 ,192.1968,23.9256,0.152569538387177,7.98592799835238,22.7843913286811
645,0.043 ,41.069 ,190.7496,24,0.833487710766312,9.22881840238933,21.4367028775272
646,0.043 ,39.974 ,186.2784,23.9952,0.834777939420749,10.4755184321858,19.3921556641008
647,0.065 ,39.470 ,183.9024,23.9544,0.271722154624435,11.7260280877417,17.341185789271
648,0.065 ,38.779 ,180.2736,23.9472,0.446591144922466,12.9803473690572,15.2837932530377
649,0.043 ,37.469 ,177.7032,23.9688,0.244605849070351,14.2384762761321,13.219978055401
650,0.108 ,37.008 ,175.1976,23.8728,0.132990318556095,16.7404479936839,11.1497401963609
651,0.000 ,35.856 ,170.9856,23.7936,0.245358482452106,18.6290699639562,9.07307967591735
652,0.000 ,35.654 ,168.3504,23.7576,0.175524856530702,21.1453277781061,7.68899614347739
653,0.000 ,33.595 ,165.8016,23.5584,0.653952393501401,23.669204843775,6.44064485536332
654,0.000 ,33.595 ,162.324,23.4888,0.485932366977341,26.2007011609629,5.11832591675305
655,0.000 ,32.717 ,158.0472,23.5104,0.296236499058739,28.1150381051118,4.07282368463076
656,0.000 ,32.213 ,155.5416,23.2416,0.706400188304266,30.6608205188978,3.79771968785035
657,0.000 ,31.622 ,152.0208,23.0976,0.403260965944289,31.9608553093273,3.16958340259453
658,0.000 ,30.427 ,149.2776,22.7592,0.016296663096085,33.2646997255162,2.61006254999873
659,0.000 ,29.736 ,146.4264,22.8408,0.205791470382704,33.9437655171471,2.26077681400866
660,0.000 ,28.786 ,143.9856,22.584,0.675165902961437,33.365654808143,1.98117695424585
661,0.000 ,28.138 ,140.5512,22.5936,-0.029894597923306,32.1551462230618,1.70072073962925
662,0.000 ,27.158 ,137.7,22.1616,0.135441752999526,30.9408280122211,1.56134898717473
663,0.000 ,26.683 ,134.6328,21.876,0.46405223937918,28.4579044234668,1.35047160442866
